activity_period,operating_airline,operating_airline_iata,published_airline,published_airline_iata,geo_summary,geo_region,activity_type,price_category,terminal,boarding_area,passenger_count
201701,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,4502
201701,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,3895
201701,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,13292
201701,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,9907
201701,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,30113
201701,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,26959
201701,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,13155
201701,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,11922
201701,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,9853
201701,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,8242
201701,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Other,International,G,5872
201701,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Other,International,G,5278
201701,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,8307
201701,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,9367
201701,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Other,International,G,2160
201701,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Other,International,G,2132
201701,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,52877
201701,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,66754
201701,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,8377
201701,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,7020
201701,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,7653
201701,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6539
201701,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,C,57835
201701,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,C,54677
201701,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,84055
201701,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,76314
201701,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,8629
201701,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,7903
201701,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,18667
201701,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,16715
201701,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Other,International,G,7573
201701,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Enplaned,Other,International,G,6749
201701,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,22482
201701,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,20405
201701,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10318
201701,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,9500
201701,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,11076
201701,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,7550
201701,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Other,International,A,6727
201701,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,5927
201701,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,4593
201701,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,4463
201701,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,19496
201701,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,17724
201701,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,105005
201701,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,100016
201701,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,19767
201701,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,17860
201701,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Other,International,A,14261
201701,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Other,International,A,11633
201701,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Deplaned,Other,International,A,7097
201701,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Other,International,A,5246
201701,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,22310
201701,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,21945
201701,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,15763
201701,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,14460
201701,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,6840
201701,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,5320
201701,Jazz Aviation,QK,Air Canada,AC,International,Canada,Deplaned,Other,International,G,1900
201701,Jazz Aviation,QK,Air Canada,AC,International,Canada,Enplaned,Other,International,G,1857
201701,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,68748
201701,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,68522
201701,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,8673
201701,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,6821
201701,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,10945
201701,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,9022
201701,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,20654
201701,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,17053
201701,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,13591
201701,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,13090
201701,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Other,International,A,8230
201701,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Other,International,A,10007
201701,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,5741
201701,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,4991
201701,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,15602
201701,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,13473
201701,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,28660
201701,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,26665
201701,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,134262
201701,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,128801
201701,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,1250
201701,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,5896
201701,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,7363
201701,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,129931
201701,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,120976
201701,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,56
201701,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,3345
201701,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,2897
201701,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,482
201701,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,482
201701,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,6135
201701,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,4976
201701,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Other,International,A,6062
201701,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Enplaned,Other,International,A,5843
201701,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Other,International,G,8344
201701,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Other,International,G,6117
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,13379
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,20959
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,237314
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,235570
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,1
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,307467
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,286788
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,4
201701,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,93880
201701,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,60946
201701,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,Terminal 3,F,93
201701,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,13807
